bath,beds,year_built,elevation,sqft,price,price_per_sqft,city
2,2,1900,9,2150,1350000,628,New York
1,3,1900,35,1520,660000,434,San Francisco
2,2,1907,54,1756,1895000,1079,San Francisco
1,0,1988,9,500,699999,1400,New York
2.5,3,1947,35,1400,799000,571,San Francisco
2.5,3,2015,5,1391,929000,668,San Francisco
2,2,1987,10,1695,4625000,2729,New York
3.5,3,1928,127,3258,2250000,691,San Francisco
1,1,1969,10,950,1760000,1853,New York
2,3,1999,23,2075,7350000,3542,New York
1.5,1,1997,3,1453,899000,619,San Francisco
2.5,4,1907,75,2746,2549000,928,San Francisco
1,2,1938,36,1150,799000,695,San Francisco
1,1,1903,9,500,629000,1258,New York
1,1,1920,10,500,450000,900,New York
6.5,6,1937,3,5420,9500000,1753,San Francisco
1,2,1925,73,700,365000,521,New York
3,3,2016,10,2017,4875000,2417,New York
1,1,2012,10,749,1285000,1716,New York
1,1,1900,70,811,725000,894,San Francisco
