card_number,bath,beds,year_built,elevation,sqft,price,price_per_sqft,city
19,1,1,1966,69,791,529000,669,San Francisco
27,2,2,1928,10,1200,2000000,1667,New York
38,1.5,2,1949,56,1348,749000,556,San Francisco
74,2,2,1906,9,2400,3995000,1665,New York
76,2,2,2005,16,1330,1965000,1477,New York
82,2.5,4,1915,62,2180,995000,456,San Francisco
97,2,2,2016,10,1520,4895000,3220,New York
101,2,2,1937,7,1640,1650000,1006,San Francisco
116,2,4,1949,11,1550,699000,451,San Francisco
118,2,2,2004,5,1453,1299000,894,San Francisco
144,7,8,1910,9,4180,2300000,550,New York
148,1,1,1910,14,475,399000,840,New York
149,2,2,1931,36,1300,1350000,1038,New York
150,3,5,1939,97,1846,950000,515,San Francisco
152,4,4,1923,21,3200,5500000,1719,New York
172,2,2,1925,50,1518,2000000,1318,San Francisco
173,2,3,1900,26,2950,1750000,593,San Francisco
208,3,3,2005,8,1353,1850000,1367,New York
1133,2,1,1900,5,1500,1699000,1133,New York
575,3,4,1940,119,2330,1338800,575,San Francisco
